,userId,movieId,rating,timestamp
1,1,481,3.5,1256677456
2,1,1091,1.5,1256677471
3,1,1257,4.5,1256677460
4,1,1449,4.5,1256677264
5,1,1590,2.5,1256677236
6,1,1591,1.5,1256677475
7,1,2134,4.5,1256677464
8,1,2478,4.0,1256677239
9,1,2840,3.0,1256677500
10,1,2986,2.5,1256677496
11,1,3020,4.0,1256677260
12,1,3424,4.5,1256677444
13,1,3698,3.5,1256677243
14,1,3826,2.0,1256677210
15,1,3893,3.5,1256677486
16,2,170,3.5,1192913581
17,2,849,3.5,1192913537
18,2,1186,3.5,1192913611
19,2,1235,3.0,1192913585
20,2,1244,3.0,1192913551
21,2,1296,4.5,1192913608
22,2,1663,3.0,1192913565
23,2,1962,4.0,1192913533
24,2,2108,3.5,1192913541
25,2,2243,4.5,1192913604
26,2,2352,4.0,1192913575
27,2,2707,3.5,1192913600
28,2,2746,4.0,1192913548
29,2,2915,3.5,1192913562
30,2,3363,4.0,1192913596
31,3,640,3.0,945141610
32,3,828,4.0,945141610
33,3,960,3.0,945141407
34,3,1221,4.0,945141407
35,3,1321,4.0,945141407
36,3,1645,4.0,945141611
37,3,1825,3.0,945141611
38,3,1985,2.0,945141611
39,3,2024,3.0,945141611
40,3,2028,5.0,945141611
41,3,3171,4.0,945141407
42,4,1,4.0,1113765937
43,4,2,4.0,1113767306
44,4,5,2.0,1123990453
45,4,6,4.5,1113767242
46,4,10,4.0,1113765995
47,4,11,3.5,1113767280
48,4,16,4.0,1113765691
49,4,19,2.0,1113767324
50,4,20,2.5,1145937918
51,4,23,3.0,1115782385
52,4,25,4.5,1113767215
53,4,31,3.0,1113796669
54,4,32,4.5,1113767082
55,4,34,3.5,1113767134
56,4,36,3.5,1113767240
57,4,39,2.5,1113767219
58,4,41,4.5,1123990211
59,4,44,1.0,1123989796
60,4,45,2.0,1117080123
61,4,47,5.0,1113767129
62,4,50,4.5,1113767113
63,4,61,3.0,1114050467
64,4,62,3.5,1135543206
65,4,65,0.5,1115782387
66,4,66,0.5,1145937915
67,4,70,3.0,1117080064
68,4,76,2.0,1113766115
69,4,85,4.0,1115782362
70,4,95,4.5,1113767211
71,4,100,4.0,1115782366
72,4,104,3.0,1113765671
73,4,110,4.5,1113767070
74,4,141,4.5,1113767207
75,4,145,4.0,1115782372
76,4,150,4.0,1113765768
77,4,151,4.5,1123990462
78,4,153,2.0,1113767107
79,4,158,0.5,1127946524
80,4,160,2.5,1113767377
81,4,161,4.0,1113765802
82,4,163,2.5,1113765975
83,4,165,4.5,1113767110
84,4,169,0.5,1113796675
85,4,170,3.0,1114050521
86,4,172,3.5,1113796672
87,4,173,3.5,1114050212
88,4,175,3.5,1127946774
89,4,180,4.5,1113797176
90,4,181,0.5,1127946789
92,4,186,2.0,1113766782
93,4,193,0.5,1113766123
94,4,198,4.5,1135543037
95,4,204,3.5,1145937771
96,4,216,2.0,1115782393
97,4,223,4.5,1113767287
98,4,231,0.5,1113767153
99,4,253,4.5,1113767185
100,4,255,0.5,1113796828
101,4,256,2.5,1127946576
102,4,260,4.5,1127947466
103,4,267,3.5,1114050525
104,4,288,4.5,1113767252
105,4,292,3.5,1113767157
106,4,293,4.5,1113795816
107,4,296,5.0,1113767056
108,4,315,2.0,1113796665
109,4,316,5.0,1113767120
110,4,317,2.0,1113767337
111,4,318,5.0,1113766505
112,4,327,1.5,1113766111
113,4,329,3.5,1113766260
114,4,332,2.0,1114050781
115,4,333,1.5,1115782380
116,4,338,2.5,1117080407
117,4,339,0.5,1123990368
118,4,344,3.0,1113767090
119,4,349,5.0,1113765966
120,4,350,2.0,1113767328
121,4,353,4.0,1113767406
122,4,356,3.5,1113767059
123,4,361,3.5,1113766326
124,4,364,4.0,1113766585
125,4,367,2.5,1113765954
